#UTX 1.20; lang: en/pt; creation date:2020-08-29; domain:computer; license: CC BY-NC 4.0														
#https://www.localeplanet.com/icu/pt/index.html														
#src:en	src:pos	tgt:pt	term status:pt	comment:pt	tgt:pt-BR	term status:pt-BR	comment:pt-BR	tgt:pt-PT	term status:pt-PT	comment:pt-PT	tgt:pt-AO	term status:pt-AO	comment:pt-AO	concept id
Universal Description, Discovery and Integration directory		diretório UDDI												
Universal Mobile Telecommunication System		sistema UMTS												
universal unique identifier		identificador universal único												
upload (to)		carregar												
usability		usabilidade												
USB hub		concentrador USB												
user		utilizador												
user agent		agente do utilizador												
user name		nome de utilizador												
Users network		rede Usenet												
utilities		utilitários												
value added network service		serviço de rede de valor acrescentado												
vaporware		software fantasma												
vertical portal		portal vertical												
very high rate digital subscriber line		linha de subscritor digital de alto débito												
video­on­demand		vídeo a pedido												
videoconference		videoconferência												
virtual		virtual												
virtual community		comunidade virtual												
virtual corporation		empresa virtual												
virtual private network		rede privada virtual												
virtual reality		realidade virtual												
virtual school		escola virtual												
virus		vírus												
voice over IP		voz sobre IP												
vulnerability		vulnerabilidade												
wall post		mural												
warez		software pirateado												
watermark		marca de água												
Web architecture		arquitetura Web												
Web content management		gestão de conteúdos Web												
Web design		conceção Web												
Web designer		autor de páginas Web												
Web feed aggregator		agregador de fornecimentos Web												
Web feed reader		leitor de fornecimentos Web												
Web page		página Web												
Web portal		portal Web												
Web server		servidor Web												
Web service modelling ontology		ontologia para a modelação de serviços Web												
Web services		serviços Web												
Web Services Description language		linguagem WSDL												
Web site		sítio Web												
Web standards		normas Web												
Web TV		televisão Web												
Web­enabling		adaptação à Web												
webcasting		difusão Web												
webmaster		administrador Web												
Wi­Fi		Wi­Fi												
wide area network		rede alargada												
wiki		wiki												
Windows Media Audio format		formato WMA												
Windows Metafile format		formato WMF												
Wireless Application protocol		protocolo WAP												
wireless communication		comunicação sem fios												
wireless local area network		rede de área local sem fios												
wireless phone		telefone sem fios												
wireless power transfer		transmissão de energia sem fios												
workflow		fluxo de trabalho												
workstation		estação de trabalho												
World Wide Web		World Wide Web												
World Wide Web consortium		consórcio World Wide Web												
worm		verme												
X­Window		Interface X­Window												
X.509 standard		norma X.509												
XML schema		esquema XML												
XML security		segurança XML												
Z­Wave		protocolo Z­Wave												
